qv,nu,RL,RLerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RLbc,RLerr_bc,Ex
0.3,0.01334763,0.02876,0.00089,0.3,0.0194,8.88e-08,0.0194,8.88e-08,1,0.02876,0.00089,0.009329834295339814
0.3,0.0182688516666666,0.01999,0.00083,0.3,0.011,9.28e-06,0.011,9.28e-06,1,0.01999,0.00083,0.014258015691591392
0.3,0.02336937,0.021185,0.000765,0.3,0.00825,0.0375,0.00825,0.0375,1,0.021185,0.000765,0.019368033779486354
0.3,0.02886151,0.024805,0.0008349999999999,0.3,0.0171,0.01,0.0171,0.01,1,0.024805,0.0008349999999999,0.02487300520305422
0.3,0.0333722366666666,0.0245999999999999,0.0008999999999999,0.3,0.0178,0.0127,0.0178,0.0127,1,0.0245999999999999,0.0008999999999999,0.02939628865182209
0.3,0.0379254283333333,0.02583,0.00087,0.3,0.0207,0.0155,0.0207,0.0155,1,0.02583,0.00087,0.03396400133898131
0.3,0.043115595,0.02582,0.00085,0.3,0.0232,0.0181,0.0232,0.0181,1,0.02582,0.00085,0.03917298248131169
0.3,0.0485416783333333,0.026215,0.000765,0.3,0.0242,0.0203,0.0242,0.0203,1,0.026215,0.000765,0.044621312191600294
0.3,0.0527174033333333,0.02676,0.0008,0.3,0.0243,0.0216,0.0243,0.0216,1,0.02676,0.0008,0.04881595068591021
0.3,0.05807743,0.026985,0.0007149999999999,0.3,0.0239,0.0228,0.0239,0.0228,1,0.026985,0.0007149999999999,0.05420254128446077
0.3,0.0631968216666666,0.02665,0.0011199999999999,0.3,0.0236,0.0234,0.0236,0.0234,1,0.02665,0.0011199999999999,0.059349704036892416
0.3,0.06826903,0.025855,0.001105,0.3,0.0235,0.0234,0.0235,0.0234,1,0.025855,0.001105,0.06445173980753001
0.3,0.0730770116666666,0.02427,0.00119,0.3,0.0233,0.023,0.0233,0.023,1,0.02427,0.00119,0.06929011998810737
0.3,0.0783992916666666,0.022745,0.0012949999999999,0.3,0.0228,0.0221,0.0228,0.0221,1,0.022745,0.0012949999999999,0.07464846186410064
0.3,0.083344105,0.021585,0.001225,0.3,0.022,0.0209,0.022,0.0209,1,0.021585,0.001225,0.07962905042128517
0.3,0.0879633533333333,0.019545,0.001225,0.3,0.0211,0.0196,0.0211,0.0196,1,0.019545,0.001225,0.0842836946971571
0.3,0.0927666166666666,0.017895,0.001175,0.3,0.0199,0.0181,0.0199,0.0181,1,0.017895,0.001175,0.08912578848487111
0.3,0.09836256,0.01632,0.0011599999999999,0.3,0.0185,0.0164,0.0185,0.0164,1,0.01632,0.0011599999999999,0.09476957347332947
0.3,0.1029865266666666,0.015075,0.000765,0.3,0.0173,0.0149,0.0173,0.0149,1,0.015075,0.000765,0.0994351858487593
0.3,0.1081012,0.01353,0.0008199999999999,0.3,0.016,0.0134,0.016,0.0134,1,0.01353,0.0008199999999999,0.10459815247098944
0.3,0.1130648866666666,0.01273,0.00114,0.3,0.0148,0.012,0.0148,0.012,1,0.01273,0.00114,0.10961094448546004
0.3,0.1181040666666666,0.011115,0.001225,0.3,0.0136,0.0107,0.0136,0.0107,1,0.011115,0.001225,0.11470223139037408
0.3,0.1234074733333333,0.009895,0.0012649999999999,0.3,0.0125,0.00949,0.0125,0.00949,1,0.009895,0.0012649999999999,0.12006293068145091
0.3,0.1281258066666666,0.00925,0.00119,0.3,0.0115,0.00857,0.0115,0.00857,1,0.00925,0.00119,0.12483435123340411
0.3,0.1333725933333333,0.00803,0.00119,0.3,0.0106,0.0077,0.0106,0.0077,1,0.00803,0.00119,0.13014250962660842
0.3,0.1381852933333333,0.0070449999999999,0.001225,0.3,0.00973,0.00703,0.00973,0.00703,1,0.0070449999999999,0.001225,0.13501366939763904
0.3,0.14303574,0.00587,0.00114,0.3,0.00896,0.00649,0.00896,0.00649,1,0.00587,0.00114,0.13992513089807423
0.3,0.1484382316666667,0.00547,0.00121,0.3,0.00818,0.00602,0.00818,0.00602,1,0.00547,0.00121,0.14539805939167685
0.3,0.1532509316666667,0.004705,0.0011949999999999,0.3,0.00757,0.00578,0.00757,0.00578,1,0.004705,0.0011949999999999,0.1502757056896002
0.3,0.1581485616666667,0.003925,0.001565,0.3,0.00698,0.00557,0.00698,0.00557,1,0.003925,0.001565,0.15524155538456055
0.3,0.163433095,0.00386,0.0015,0.3,0.00638,0.00546,0.00638,0.00546,1,0.00386,0.0015,0.16060210450712467
0.3,0.16789192,0.004625,0.001925,0.3,0.00593,0.00546,0.00593,0.00546,1,0.004625,0.001925,0.1651270111075902
0.3,0.1726715916666666,0.00683,0.0019399999999999,0.3,0.00547,0.00553,0.00547,0.00553,1,0.00683,0.0019399999999999,0.16997949462644027
0.3,0.1780788016666666,0.00566,0.0020299999999999,0.3,0.00499,0.00571,0.00499,0.00571,1,0.00566,0.0020299999999999,0.17547154006365334
