0.045	0.00140	0.00015
0.065	0.00313	0.00018
0.085	0.00574	0.00030
0.105	0.00875	0.00040
0.125	0.01242	0.00044
0.145	0.01539	0.00062
0.165	0.01754	0.00077
0.185	0.01800	0.00080
0.205	0.01892	0.00087
0.225	0.01667	0.00080
0.245	0.01431	0.00074
0.265	0.01353	0.00080
0.285	0.01262	0.00080
0.305	0.01329	0.00080
0.325	0.01457	0.00086
0.344	0.01727	0.00108
