qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.148,0.0219,-0.00088,0.0001,9.137164e-10,2.417592e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.137164e-10,2.417592e-08
0.148,0.0219,-0.00078,0.0002,9.894226e-10,2.608866e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.894226e-10,2.608866e-08
0.148,0.0219,-0.00068,0.0003,1.071138e-09,2.814796e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.071138e-09,2.814796e-08
0.148,0.0219,-0.00058,0.0004,1.159318e-09,3.036461e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.159318e-09,3.036461e-08
0.148,0.0219,-0.00048,0.0005,1.25445e-09,3.275017e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.25445e-09,3.275017e-08
0.148,0.0219,-0.00038,0.0006,1.357054e-09,3.531697e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.357054e-09,3.531697e-08
0.148,0.0219,-0.00028,0.0007,1.46769e-09,3.807826e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.46769e-09,3.807826e-08
0.148,0.0219,-0.00018,0.0008,1.586956e-09,4.104815e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.586956e-09,4.104815e-08
0.148,0.0219,-8e-05,0.0009,1.715493e-09,4.424177e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.715493e-09,4.424177e-08
0.148,0.0219,2e-05,0.001,1.853985e-09,4.767527e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.853985e-09,4.767527e-08
0.148,0.0219,0.00012,0.0011,2.003166e-09,5.136591e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.003166e-09,5.136591e-08
0.148,0.0219,0.00022,0.0012,2.16382e-09,5.533213e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.16382e-09,5.533213e-08
0.148,0.0219,0.00032,0.0013,2.336783e-09,5.959363e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.336783e-09,5.959363e-08
0.148,0.0219,0.00042,0.0014,2.522953e-09,6.417144e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.522953e-09,6.417144e-08
0.148,0.0219,0.00052,0.0015,2.723286e-09,6.908802e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.723286e-09,6.908802e-08
0.148,0.0219,0.00062,0.0016,2.938804e-09,7.436734e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.938804e-09,7.436734e-08
