qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.4,0.16,-0.00706,0.0001,8.41846e-13,1.401374e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.41846e-13,1.401374e-10
0.4,0.16,-0.00696,0.0002,9.255661e-13,1.500278e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.255661e-13,1.500278e-10
0.4,0.16,-0.00686,0.0003,1.017361e-12,1.605949e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.017361e-12,1.605949e-10
0.4,0.16,-0.00676,0.0004,1.117984e-12,1.718834e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.117984e-12,1.718834e-10
0.4,0.16,-0.00666,0.0005,1.228256e-12,1.839408e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.228256e-12,1.839408e-10
0.4,0.16,-0.00656,0.0006,1.349072e-12,1.968178e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.349072e-12,1.968178e-10
0.4,0.16,-0.00646,0.0007,1.481406e-12,2.105683e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.481406e-12,2.105683e-10
0.4,0.16,-0.00636,0.0008,1.626319e-12,2.252495e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.626319e-12,2.252495e-10
0.4,0.16,-0.00626,0.0009,1.784968e-12,2.409223e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.784968e-12,2.409223e-10
0.4,0.16,-0.00616,0.001,1.95861e-12,2.576513e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.95861e-12,2.576513e-10
0.4,0.16,-0.00606,0.0011,2.148614e-12,2.755054e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.148614e-12,2.755054e-10
0.4,0.16,-0.00596,0.0012,2.356468e-12,2.945577e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.356468e-12,2.945577e-10
0.4,0.16,-0.00586,0.0013,2.583792e-12,3.148858e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.583792e-12,3.148858e-10
0.4,0.16,-0.00576,0.0014,2.832347e-12,3.365722e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.832347e-12,3.365722e-10
0.4,0.16,-0.00566,0.0015,3.104046e-12,3.597046e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.104046e-12,3.597046e-10
0.4,0.16,-0.00556,0.0016,3.400969e-12,3.843761e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.400969e-12,3.843761e-10
0.4,0.16,-0.00546,0.0017,3.725375e-12,4.106854e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.725375e-12,4.106854e-10
0.4,0.16,-0.00536,0.0018,4.079719e-12,4.387376e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.079719e-12,4.387376e-10
0.4,0.16,-0.00526,0.0019,4.466664e-12,4.686441e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.466664e-12,4.686441e-10
0.4,0.16,-0.00516,0.002,4.889103e-12,5.005232e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.889103e-12,5.005232e-10
0.40001,0.16,-0.00506,0.0021,5.350175e-12,5.345005e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.350175e-12,5.345005e-10
0.40001,0.16,-0.00496,0.0022,5.853283e-12,5.707091e-10,0.0,0.0,0.0,0.0,0.0,0.0,5.853283e-12,5.707091e-10
0.40001,0.16,-0.00486,0.0023,6.402122e-12,6.092904e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.402122e-12,6.092904e-10
0.40001,0.16,-0.00476,0.0024,7.000696e-12,6.503945e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.000696e-12,6.503945e-10
0.40001,0.16,-0.00466,0.0025,7.653346e-12,6.941803e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.653346e-12,6.941803e-10
0.40001,0.16,-0.00456,0.0026,8.364775e-12,7.408167e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.364775e-12,7.408167e-10
0.40001,0.16,-0.00446,0.0027,9.140081e-12,7.904825e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.140081e-12,7.904825e-10
0.40001,0.16,-0.00436,0.0028,9.984784e-12,8.433675e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.984784e-12,8.433675e-10
0.40001,0.16,-0.00426,0.0029,1.090486e-11,8.996727e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.090486e-11,8.996727e-10
0.40001,0.16,-0.00416,0.003,1.190678e-11,9.596115e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.190678e-11,9.596115e-10
0.40001,0.16,-0.00406,0.0031,1.299755e-11,1.02341e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.299755e-11,1.02341e-09
0.40001,0.16,-0.00396,0.0032,1.418475e-11,1.091307e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.418475e-11,1.091307e-09
0.40001,0.16,-0.00386,0.0033,1.547656e-11,1.163557e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.547656e-11,1.163557e-09
0.40001,0.16,-0.00376,0.0034,1.688185e-11,1.240428e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.688185e-11,1.240428e-09
0.40002,0.16,-0.00366,0.0035,1.84102e-11,1.322205e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.84102e-11,1.322205e-09
0.40002,0.16,-0.00356,0.0036,2.007197e-11,1.40919e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.007197e-11,1.40919e-09
0.40002,0.16,-0.00346,0.0037,2.187833e-11,1.501702e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.187833e-11,1.501702e-09
0.40002,0.16,-0.00336,0.0038,2.384137e-11,1.600079e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.384137e-11,1.600079e-09
0.40002,0.16,-0.00326,0.0039,2.597413e-11,1.704679e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.597413e-11,1.704679e-09
0.40002,0.16,-0.00316,0.004,2.82907e-11,1.815881e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.82907e-11,1.815881e-09
0.40002,0.16,-0.00306,0.0041,3.080628e-11,1.934086e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.080628e-11,1.934086e-09
0.40002,0.16,-0.00296,0.0042,3.353726e-11,2.059718e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.353726e-11,2.059718e-09
0.40002,0.16,-0.00286,0.0043,3.650134e-11,2.193226e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.650134e-11,2.193226e-09
0.40002,0.16,-0.00276,0.0044,3.971759e-11,2.335085e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.971759e-11,2.335085e-09
0.40003,0.16,-0.00266,0.0045,4.320657e-11,2.485798e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.320657e-11,2.485798e-09
0.40003,0.16,-0.00256,0.0046,4.699044e-11,2.645896e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.699044e-11,2.645896e-09
0.40003,0.16,-0.00246,0.0047,5.109308e-11,2.81594e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.109308e-11,2.81594e-09
0.40003,0.16,-0.00236,0.0048,5.554021e-11,2.996526e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.554021e-11,2.996526e-09
0.40003,0.16,-0.00226,0.0049,6.035952e-11,3.18828e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.035952e-11,3.18828e-09
0.40003,0.16,-0.00216,0.005,6.558083e-11,3.391866e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.558083e-11,3.391866e-09
0.40003,0.16,-0.00206,0.0051,7.123621e-11,3.607987e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.123621e-11,3.607987e-09
0.40003,0.16,-0.00196,0.0052,7.73602e-11,3.837383e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.73602e-11,3.837383e-09
0.40004,0.16,-0.00186,0.0053,8.398993e-11,4.080838e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.398993e-11,4.080838e-09
0.40004,0.16,-0.00176,0.0054,9.116532e-11,4.339179e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.116532e-11,4.339179e-09
0.40004,0.16,-0.00166,0.0055,9.892931e-11,4.61328e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.892931e-11,4.61328e-09
0.40004,0.16,-0.00156,0.0056,1.07328e-10,4.904065e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.07328e-10,4.904065e-09
0.40004,0.16,-0.00146,0.0057,1.16411e-10,5.212507e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.16411e-10,5.212507e-09
0.40004,0.16,-0.00136,0.0058,1.262315e-10,5.539635e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.262315e-10,5.539635e-09
0.40004,0.16,-0.00126,0.0059,1.368468e-10,5.886537e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.368468e-10,5.886537e-09
0.40004,0.16,-0.00116,0.006,1.483181e-10,6.254358e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.483181e-10,6.254358e-09
0.40005,0.16,-0.00106,0.0061,1.607113e-10,6.644309e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.607113e-10,6.644309e-09
0.40005,0.16,-0.00096,0.0062,1.740971e-10,7.057665e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.740971e-10,7.057665e-09
0.40005,0.16,-0.00086,0.0063,1.885513e-10,7.495775e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.885513e-10,7.495775e-09
0.40005,0.16,-0.00076,0.0064,2.041552e-10,7.960059e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.041552e-10,7.960059e-09
0.40005,0.16,-0.00066,0.0065,2.209959e-10,8.452015e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.209959e-10,8.452015e-09
0.40005,0.16,-0.00056,0.0066,2.391667e-10,8.973224e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.391667e-10,8.973224e-09
0.40006,0.16,-0.00046,0.0067,2.587677e-10,9.525353e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.587677e-10,9.525353e-09
0.40006,0.16,-0.00036,0.0068,2.79906e-10,1.011016e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.79906e-10,1.011016e-08
0.40006,0.16,-0.00026,0.0069,3.026964e-10,1.072949e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.026964e-10,1.072949e-08
0.40006,0.16,-0.00016,0.007,3.272617e-10,1.13853e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.272617e-10,1.13853e-08
0.40006,0.16,-6e-05,0.0071,3.537333e-10,1.207965e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.537333e-10,1.207965e-08
0.40006,0.16,4e-05,0.0072,3.822518e-10,1.28147e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.822518e-10,1.28147e-08
0.40007,0.16,0.00014,0.0073,4.129676e-10,1.359274e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.129676e-10,1.359274e-08
0.40007,0.16,0.00024,0.0074,4.460414e-10,1.441617e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.460414e-10,1.441617e-08
0.40007,0.16,0.00034,0.0075,4.816452e-10,1.528752e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.816452e-10,1.528752e-08
0.40007,0.16,0.00044,0.0076,5.199627e-10,1.620947e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.199627e-10,1.620947e-08
0.40007,0.16,0.00054,0.0077,5.611901e-10,1.718481e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.611901e-10,1.718481e-08
0.40008,0.16,0.00064,0.0078,6.055369e-10,1.82165e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.055369e-10,1.82165e-08
0.40008,0.16,0.00074,0.0079,6.532269e-10,1.930766e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.532269e-10,1.930766e-08
0.40008,0.16,0.00084,0.008,7.044989e-10,2.046156e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.044989e-10,2.046156e-08
0.40008,0.16,0.00094,0.0081,7.596079e-10,2.168164e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.596079e-10,2.168164e-08
0.40008,0.16,0.00104,0.0082,8.188256e-10,2.297153e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.188256e-10,2.297153e-08
0.40009,0.16,0.00114,0.0083,8.824421e-10,2.433504e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.824421e-10,2.433504e-08
0.40009,0.16,0.00124,0.0084,9.507665e-10,2.577617e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.507665e-10,2.577617e-08
0.40009,0.16,0.00134,0.0085,1.024128e-09,2.729916e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.024128e-09,2.729916e-08
0.40009,0.16,0.00144,0.0086,1.102879e-09,2.890842e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.102879e-09,2.890842e-08
0.40009,0.16,0.00154,0.0087,1.187391e-09,3.060863e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.187391e-09,3.060863e-08
0.4001,0.16,0.00164,0.0088,1.278065e-09,3.240467e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.278065e-09,3.240467e-08
0.4001,0.16,0.00174,0.0089,1.375323e-09,3.43017e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.375323e-09,3.43017e-08
0.4001,0.16,0.00184,0.009,1.479617e-09,3.630515e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.479617e-09,3.630515e-08
0.4001,0.16,0.00194,0.0091,1.591428e-09,3.842076e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.591428e-09,3.842076e-08
0.40011,0.16,0.00204,0.0092,1.711265e-09,4.06551e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.711265e-09,4.06551e-08
0.40011,0.16,0.00214,0.0093,1.839672e-09,4.30188e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.839672e-09,4.30188e-08
0.40011,0.16,0.00224,0.0094,1.977227e-09,4.554767e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.977227e-09,4.554767e-08
0.40011,0.16,0.00234,0.0095,2.124543e-09,4.842782e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.124543e-09,4.842782e-08
0.40012,0.16,0.00244,0.0096,2.282271e-09,5.266847e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.282271e-09,5.266847e-08
0.40012,0.16,0.00254,0.0097,2.451104e-09,6.338357e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.451104e-09,6.338357e-08
0.40012,0.16,0.00264,0.0098,2.631777e-09,1.04279e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.631777e-09,1.04279e-07
0.40012,0.16,0.00274,0.0099,2.825071e-09,2.754046e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.825071e-09,2.754046e-07
0.40012,0.16,0.00284,0.01,3.031813e-09,9.604336e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.031813e-09,9.604336e-07
0.40013,0.16,0.00294,0.0101,3.252883e-09,3.493854e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.252883e-09,3.493854e-06
0.40013,0.16,0.00304,0.0102,3.489211e-09,1.207676e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.489211e-09,1.207676e-05
0.40013,0.16,0.00314,0.0103,3.741785e-09,3.864729e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.741785e-09,3.864729e-05
0.40014,0.16,0.00324,0.0104,4.011652e-09,0.0001137182,0.0,0.0,0.0,0.0,0.0,0.0,4.011652e-09,0.0001137182
0.40014,0.16,0.00334,0.0105,4.299922e-09,0.0003070883,0.0,0.0,0.0,0.0,0.0,0.0,4.299922e-09,0.0003070883
0.40014,0.16,0.00344,0.0106,4.607769e-09,0.0007606401,0.0,0.0,0.0,0.0,0.0,0.0,4.607769e-09,0.0007606401
0.40014,0.16,0.00354,0.0107,4.936439e-09,0.001727834,0.0,0.0,0.0,0.0,0.0,0.0,4.936439e-09,0.001727834
0.40015,0.16,0.00364,0.0108,5.287247e-09,0.0035992,0.0,0.0,0.0,0.0,0.0,0.0,5.287247e-09,0.0035992
0.40015,0.16,0.00374,0.0109,5.661589e-09,0.006875151,0.0,0.0,0.0,0.0,0.0,0.0,5.661589e-09,0.006875151
0.40015,0.16,0.00384,0.011,6.060938e-09,0.01204279,0.0,0.0,0.0,0.0,0.0,0.0,6.060938e-09,0.01204279
0.40015,0.16,0.00394,0.0111,6.486856e-09,0.01934368,0.0,0.0,0.0,0.0,0.0,0.0,6.486856e-09,0.01934368
0.40016,0.16,0.00404,0.0112,6.940992e-09,0.02849165,0.0,0.0,0.0,0.0,0.0,0.0,6.940992e-09,0.02849165
0.40016,0.16,0.00414,0.0113,7.425089e-09,0.03848242,0.0,0.0,0.0,0.0,0.0,0.0,7.425089e-09,0.03848242
0.40016,0.16,0.00424,0.0114,7.94099e-09,0.0476621,0.0,0.0,0.0,0.0,0.0,0.0,7.94099e-09,0.0476621
0.40017,0.16,0.00434,0.0115,8.490642e-09,0.05413149,0.0,0.0,0.0,0.0,0.0,0.0,8.490642e-09,0.05413149
0.40017,0.16,0.00444,0.0116,9.0761e-09,0.05637581,0.0,0.0,0.0,0.0,0.0,0.0,9.0761e-09,0.05637581
0.40017,0.16,0.00454,0.0117,9.699535e-09,0.05383958,0.0,0.0,0.0,0.0,0.0,0.0,9.699535e-09,0.05383958
0.40017,0.16,0.00464,0.0118,1.036324e-08,0.04714944,0.0,0.0,0.0,0.0,0.0,0.0,1.036324e-08,0.04714944
0.40018,0.16,0.00474,0.0119,1.106962e-08,0.03786322,0.0,0.0,0.0,0.0,0.0,0.0,1.106962e-08,0.03786322
0.40018,0.16,0.00484,0.012,1.182124e-08,0.02788206,0.0,0.0,0.0,0.0,0.0,0.0,1.182124e-08,0.02788206
0.40018,0.16,0.00494,0.0121,1.262078e-08,0.01882777,0.0,0.0,0.0,0.0,0.0,0.0,1.262078e-08,0.01882777
0.40019,0.16,0.00504,0.0122,1.347108e-08,0.01165843,0.0,0.0,0.0,0.0,0.0,0.0,1.347108e-08,0.01165843
0.40019,0.16,0.00514,0.0123,1.437512e-08,0.006619894,0.0,0.0,0.0,0.0,0.0,0.0,1.437512e-08,0.006619894
0.40019,0.16,0.00524,0.0124,1.533606e-08,0.003446956,0.0,0.0,0.0,0.0,0.0,0.0,1.533606e-08,0.003446956
0.4002,0.16,0.00534,0.0125,1.635719e-08,0.001645913,0.0,0.0,0.0,0.0,0.0,0.0,1.635719e-08,0.001645913
0.4002,0.16,0.00544,0.0126,1.744202e-08,0.0007207744,0.0,0.0,0.0,0.0,0.0,0.0,1.744202e-08,0.0007207744
0.4002,0.16,0.00554,0.0127,1.859421e-08,0.0002895468,0.0,0.0,0.0,0.0,0.0,0.0,1.859421e-08,0.0002895468
0.4002,0.16,0.00564,0.0128,1.981764e-08,0.0001067845,0.0,0.0,0.0,0.0,0.0,0.0,1.981764e-08,0.0001067845
0.40021,0.16,0.00574,0.0129,2.111637e-08,3.625456e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.111637e-08,3.625456e-05
0.40021,0.16,0.00584,0.013,2.249466e-08,1.144709e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.249466e-08,1.144709e-05
0.40021,0.16,0.00594,0.0131,2.395703e-08,3.493148e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.395703e-08,3.493148e-06
0.40022,0.16,0.00604,0.0132,2.55082e-08,1.173607e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.55082e-08,1.173607e-06
0.40022,0.16,0.00614,0.0133,2.715312e-08,5.659525e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.715312e-08,5.659525e-07
0.40022,0.16,0.00624,0.0134,2.889703e-08,4.320398e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.889703e-08,4.320398e-07
0.40023,0.16,0.00634,0.0135,3.074539e-08,4.181174e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.074539e-08,4.181174e-07
0.40023,0.16,0.00644,0.0136,3.270396e-08,4.325371e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.270396e-08,4.325371e-07
0.40023,0.16,0.00654,0.0137,3.477877e-08,4.537627e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.477877e-08,4.537627e-07
0.40024,0.16,0.00664,0.0138,3.697616e-08,4.772369e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.697616e-08,4.772369e-07
0.40024,0.16,0.00674,0.0139,3.930278e-08,5.021445e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.930278e-08,5.021445e-07
0.40024,0.16,0.00684,0.014,4.17656e-08,5.28439e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.17656e-08,5.28439e-07
0.40025,0.16,0.00694,0.0141,4.437193e-08,5.562444e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.437193e-08,5.562444e-07
0.40025,0.16,0.00704,0.0142,4.712943e-08,5.857285e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.712943e-08,5.857285e-07
0.40026,0.16,0.00714,0.0143,5.004614e-08,6.170612e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.004614e-08,6.170612e-07
0.40026,0.16,0.00724,0.0144,5.313048e-08,6.503559e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.313048e-08,6.503559e-07
0.40026,0.16,0.00734,0.0145,5.639127e-08,6.856105e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.639127e-08,6.856105e-07
0.40027,0.16,0.00744,0.0146,5.983776e-08,7.226856e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.983776e-08,7.226856e-07
0.40027,0.16,0.00754,0.0147,6.347963e-08,7.614161e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.347963e-08,7.614161e-07
0.40027,0.16,0.00764,0.0148,6.732703e-08,8.021729e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.732703e-08,8.021729e-07
0.40028,0.16,0.00774,0.0149,7.139058e-08,8.482598e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.139058e-08,8.482598e-07
0.40028,0.16,0.00784,0.015,7.568141e-08,9.159865e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.568141e-08,9.159865e-07
0.40028,0.16,0.00794,0.0151,8.021117e-08,1.074386e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.021117e-08,1.074386e-06
0.40029,0.16,0.00804,0.0152,8.499207e-08,1.587576e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.499207e-08,1.587576e-06
0.40029,0.16,0.00814,0.0153,9.00369e-08,3.373082e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.00369e-08,3.373082e-06
0.4003,0.16,0.00824,0.0154,9.535905e-08,9.318098e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.535905e-08,9.318098e-06
0.4003,0.16,0.00834,0.0155,1.009726e-07,2.762597e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.009726e-07,2.762597e-05
0.4003,0.16,0.00844,0.0156,1.068921e-07,7.92627e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.068921e-07,7.92627e-05
0.40031,0.16,0.00854,0.0157,1.131331e-07,0.0002121878,0.0,0.0,0.0,0.0,0.0,0.0,1.131331e-07,0.0002121878
0.40031,0.16,0.00864,0.0158,1.197118e-07,0.0005238879,0.0,0.0,0.0,0.0,0.0,0.0,1.197118e-07,0.0005238879
0.40032,0.16,0.00874,0.0159,1.266451e-07,0.001188512,0.0,0.0,0.0,0.0,0.0,0.0,1.266451e-07,0.001188512
0.40032,0.16,0.00884,0.016,1.339507e-07,0.002474382,0.0,0.0,0.0,0.0,0.0,0.0,1.339507e-07,0.002474382
0.40032,0.16,0.00894,0.0161,1.416473e-07,0.004725309,0.0,0.0,0.0,0.0,0.0,0.0,1.416473e-07,0.004725309
0.40033,0.16,0.00904,0.0162,1.497547e-07,0.008275948,0.0,0.0,0.0,0.0,0.0,0.0,1.497547e-07,0.008275948
0.40033,0.16,0.00914,0.0163,1.582933e-07,0.01329224,0.0,0.0,0.0,0.0,0.0,0.0,1.582933e-07,0.01329224
0.40034,0.16,0.00924,0.0164,1.672849e-07,0.01957755,0.0,0.0,0.0,0.0,0.0,0.0,1.672849e-07,0.01957755
0.40034,0.16,0.00934,0.0165,1.767523e-07,0.02644192,0.0,0.0,0.0,0.0,0.0,0.0,1.767523e-07,0.02644192
0.40034,0.16,0.00944,0.0166,1.867195e-07,0.03274925,0.0,0.0,0.0,0.0,0.0,0.0,1.867195e-07,0.03274925
0.40035,0.16,0.00954,0.0167,1.972121e-07,0.03719538,0.0,0.0,0.0,0.0,0.0,0.0,1.972121e-07,0.03719538
0.40035,0.16,0.00964,0.0168,2.082566e-07,0.03874123,0.0,0.0,0.0,0.0,0.0,0.0,2.082566e-07,0.03874123
0.40036,0.16,0.00974,0.0169,2.198816e-07,0.0370089,0.0,0.0,0.0,0.0,0.0,0.0,2.198816e-07,0.0370089
0.40036,0.16,0.00984,0.017,2.321169e-07,0.03243637,0.0,0.0,0.0,0.0,0.0,0.0,2.321169e-07,0.03243637
0.40037,0.16,0.00994,0.0171,2.449943e-07,0.0261071,0.0,0.0,0.0,0.0,0.0,0.0,2.449943e-07,0.0261071
0.40037,0.16,0.01004,0.0172,2.585475e-07,0.01934743,0.0,0.0,0.0,0.0,0.0,0.0,2.585475e-07,0.01934743
0.40037,0.16,0.01014,0.0173,2.728123e-07,0.01329748,0.0,0.0,0.0,0.0,0.0,0.0,2.728123e-07,0.01329748
0.40038,0.16,0.01024,0.0174,2.878269e-07,0.008640692,0.0,0.0,0.0,0.0,0.0,0.0,2.878269e-07,0.008640692
0.40038,0.16,0.01034,0.0175,3.036317e-07,0.005558711,0.0,0.0,0.0,0.0,0.0,0.0,3.036317e-07,0.005558711
0.40039,0.16,0.01044,0.0176,3.202702e-07,0.003855159,0.0,0.0,0.0,0.0,0.0,0.0,3.202702e-07,0.003855159
0.40039,0.16,0.01054,0.0177,3.377887e-07,0.003140034,0.0,0.0,0.0,0.0,0.0,0.0,3.377887e-07,0.003140034
0.4004,0.16,0.01064,0.0178,3.562366e-07,0.002988698,0.0,0.0,0.0,0.0,0.0,0.0,3.562366e-07,0.002988698
0.4004,0.16,0.01074,0.0179,3.756673e-07,0.003042546,0.0,0.0,0.0,0.0,0.0,0.0,3.756673e-07,0.003042546
0.4004,0.16,0.01084,0.018,3.961378e-07,0.003056815,0.0,0.0,0.0,0.0,0.0,0.0,3.961378e-07,0.003056815
0.40041,0.16,0.01094,0.0181,4.177095e-07,0.002911295,0.0,0.0,0.0,0.0,0.0,0.0,4.177095e-07,0.002911295
0.40041,0.16,0.01104,0.0182,4.404484e-07,0.002594619,0.0,0.0,0.0,0.0,0.0,0.0,4.404484e-07,0.002594619
0.40042,0.16,0.01114,0.0183,4.644261e-07,0.002169348,0.0,0.0,0.0,0.0,0.0,0.0,4.644261e-07,0.002169348
0.40042,0.16,0.01124,0.0184,4.897194e-07,0.001728087,0.0,0.0,0.0,0.0,0.0,0.0,4.897194e-07,0.001728087
0.40043,0.16,0.01134,0.0185,5.164117e-07,0.001354438,0.0,0.0,0.0,0.0,0.0,0.0,5.164117e-07,0.001354438
0.40043,0.16,0.01144,0.0186,5.445932e-07,0.001100094,0.0,0.0,0.0,0.0,0.0,0.0,5.445932e-07,0.001100094
0.40044,0.16,0.01154,0.0187,5.743616e-07,0.0009810456,0.0,0.0,0.0,0.0,0.0,0.0,5.743616e-07,0.0009810456
0.40044,0.16,0.01164,0.0188,6.05823e-07,0.0009873517,0.0,0.0,0.0,0.0,0.0,0.0,6.05823e-07,0.0009873517
